#
#
# US Geological Survey
# retrieved: 2023-11-20 15:48:54 EST
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  coord_datum_cd  -- Latitude-longitude datum
#
#
# query started 2023-11-20 15:48:54 EST
#
# there are 1968 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	coord_datum_cd
USGS	394241095025501	04S 21E 10DCC 01	GW	39.71138377	-95.04885900	T	NAD27
USGS	394241095084101	04S 20E 11CDD 01	GW	39.71138550	-95.14497210	T	NAD27
USGS	394241095105501	04S 20E 09CDD 01	GW	39.71138620	-95.18219510	T	NAD27
USGS	394242095491001	04S 14E 11CDD 01	GW	39.71166430	-95.81971090	T	NAD27
USGS	394242095524801	04S 14E 08CDC 01	GW	39.71166400	-95.88026920	T	NAD27
USGS	394242095561301	04S 13E 10DDD 01	GW	39.71166370	-95.93721630	T	NAD27
USGS	394246095155301	04S 19E 11CCB 01	GW	39.71277660	-95.26497470	T	NAD27
USGS	394248095030301	04S 21E 10CDA 01	GW	39.71332825	-95.05108130	T	NAD27
USGS	394248095055201	04S 21E 07DDA 01	GW	39.71332910	-95.09802670	T	NAD27
USGS	394254094523901	T57N R35W 31BCB1	GW	39.71499455	-94.87774350	S	NAD27
USGS	394254094523902	T57N R35W 31BCB	GW	39.71499455	-94.87774350	S	NAD27
USGS	394255095553301	04S 13E 11DBC 01	GW	39.71527490	-95.92610470	M	NAD27
USGS	394259095200501	04S 19E 07CAB 01	GW	39.71638916	-95.33497640	M	NAD27
USGS	394300094500001	T57N R35W 33ABC1	GW	39.71666140	-94.83357560	M	NAD27
USGS	394300094520001	T57N R35W 31AAD1	GW	39.71666125	-94.86690990	M	NAD27
USGS	394303094564601	T57N R36W 33BAD1	GW	39.71721640	-94.94580100	F	NAD27
USGS	394306095484300	MUDDY C AT 145TH ST NR WETMORE, KS	ST	39.71835000	-95.81182220	5	NAD83
USGS	394308095505501	04S 14E 09ADD 01	GW	39.71888650	-95.84887900	T	NAD27
USGS	394310094521001	T57N R35W 30DCC1	GW	39.71943899	-94.86968780	M	NAD27
USGS	394315095515601	04S 14E 09BCB 01	GW	39.72083089	-95.86582420	T	NAD27
USGS	394315095515602	04S 14E 09BCB 02	GW	39.72083089	-95.86582420	T	NAD27
USGS	394319095160201	04S 19E 10AAD 01	GW	39.72194340	-95.26747490	T	NAD27
USGS	394320095133501	04S 20E 07BBC 01	GW	39.72222039	-95.22664070	T	NAD27
USGS	394326095160201	04S 19E 10AAA 01	GW	39.72388786	-95.26747490	T	NAD27
USGS	394326095160202	04S 19E 10AAA 02	GW	39.72388786	-95.26747490	M	NAD27
USGS	394326095213601	04S 18E 11AAA 01	GW	39.72388976	-95.36025490	T	NAD27
USGS	394326095281501	04S 17E 11AAA 01	GW	39.72389200	-95.47109080	T	NAD27
USGS	394327095004801	04S 21E 12BAA 01	GW	39.72416080	-95.01358070	T	NAD27
USGS	394327095083201	04S 20E 11ABB 01	GW	39.72416325	-95.14247230	T	NAD27
USGS	394327095330601	04S 17E 07ABB 01	GW	39.72416928	-95.55192590	T	NAD27
USGS	394328095535701	04S 14E 07BBB 01	GW	39.72444186	-95.89943690	T	NAD27
USGS	394328095584501	04S 13E 08ABB 01	GW	39.72444140	-95.97944060	T	NAD27
USGS	394330094443001	T57N R34W 29AC	GW	39.72499510	-94.74190640	M	NAD27
USGS	394330094480001	T57N R35W 26CAB1	GW	39.72499480	-94.80024140	M	NAD27
USGS	394331095400700	OAKS C AT 150 ST AND FALCON RD, KICKAPOO, KS	ST	39.72527778	-95.66861110	1	NAD83
USGS	394332095165401	04S 19E 03CCD 01	GW	39.72555480	-95.28191970	T	NAD27
USGS	394332095165402	04S 19E 03CCD 02	GW	39.72555480	-95.28191970	T	NAD27
USGS	394332095175401	04S 19E 04CDC 01	GW	39.72555518	-95.29858680	T	NAD27
USGS	394332095192801	04S 19E 06DDD 01	GW	39.72555570	-95.32469850	T	NAD27
USGS	394332095240101	04S 18E 04DDC 01	GW	39.72555728	-95.40053360	T	NAD27
USGS	394332095270101	04S 18E 06CCC 01	GW	39.72555830	-95.45053480	T	NAD27
USGS	394333094544801	T57N R36W 26CBA1	GW	39.72582760	-94.91357800	S	NAD27
USGS	394333095010501	04S 21E 01CCD 01	GW	39.72582756	-95.01830300	T	NAD27
USGS	394333095025501	04S 21E 03DCC 01	GW	39.72582810	-95.04885930	T	NAD27
USGS	394333095044401	04S 21E 05DDD 01	GW	39.72582870	-95.07913770	T	NAD27
USGS	394333095110401	04S 20E 04CDC 01	GW	39.72583070	-95.18469540	T	NAD27
USGS	394333095301701	04S 17E 03CCC 01	GW	39.72583700	-95.50498050	M	NAD27
USGS	394334095564501	04S 13E 03CDD 01	GW	39.72610827	-95.94610580	T	NAD27
USGS	394335096004401	04S 12E 01DDD 01	GW	39.72638580	-96.01249770	T	NAD27
USGS	394345095202001	04S 19E 06CBC 01	GW	39.72916717	-95.33914340	T	NAD27
USGS	394346095075001	04S 20E 01CBD 01	GW	39.72944080	-95.13080550	T	NAD27
USGS	394400094490001	T57N R35W 27BAA1	GW	39.73332800	-94.81690870	M	NAD27
USGS	394400095471701	04S 15E 06BCC 01	GW	39.73333154	-95.78832080	T	NAD27
USGS	394405095245201	04S 18E 04BCB 01	GW	39.73472439	-95.41470070	T	NAD27
USGS	394406095043601	04S 21E 04BCB 01	GW	39.73499530	-95.07691560	T	NAD27
USGS	394406095070001	04S 20E 01ADA 01	GW	39.73499608	-95.11691640	T	NAD27
USGS	394411095493500	MUDDY C NR WETMORE, KS	ST	39.73650830	-95.82646110	5	NAD83
USGS	394413095531301	04S 14E 06AAD 01	GW	39.73694210	-95.88721430	T	NAD27
USGS	394418095203601	04S 18E 01AAB 01	GW	39.73833400	-95.34358800	T	NAD27
USGS	394419094525701	04S 23E 06BABD01	GW	39.73871377	-94.88276900	S	NAD27
USGS	394419095054401	04S 21E 05BBB 01	GW	39.73860677	-95.09580490	T	NAD27
USGS	394419095090601	04S 20E 02BBB 01	GW	39.73860787	-95.15191720	M	NAD27
USGS	394420095472501	04S 14E 01AAA 01	GW	39.73888718	-95.79054310	T	NAD27
USGS	394420095482601	04S 14E 01BBB 01	GW	39.73888707	-95.80748840	T	NAD27
USGS	394420095535701	04S 14E 06BBB 01	GW	39.73888649	-95.89943710	T	NAD27
USGS	394420095560401	04S 13E 02BBB 01	GW	39.73888627	-95.93471650	T	NAD27
USGS	394420095570901	04S 13E 03BBB 01	GW	39.73888615	-95.95277290	T	NAD27
USGS	394420095570902	04S 13E 03BBB 02	GW	39.73888615	-95.95277290	T	NAD27
USGS	394424095181101	03S 19E 33CCC 01	GW	39.73999984	-95.30330940	T	NAD27
USGS	394424095192801	03S 19E 31DDD 01	GW	39.74000030	-95.32469870	T	NAD27
USGS	394425095013001	03S 21E 35DDC 01	GW	39.74027200	-95.02524800	T	NAD27
USGS	394425095083201	03S 20E 35DCC 01	GW	39.74027435	-95.14247260	T	NAD27
USGS	394425095123701	03S 20E 31DDD 01	GW	39.74027569	-95.21052950	T	NAD27
USGS	394425095131101	03S 20E 31CDD 01	GW	39.74027587	-95.21997420	T	NAD27
USGS	394426095360901	03S 16E 34DDD 01	GW	39.74055740	-95.60276050	M	NAD27
USGS	394426095471701	03S 15E 31CCC 01	GW	39.74055389	-95.78832080	T	NAD27
USGS	394426095493601	03S 14E 35CCC 01	GW	39.74055364	-95.82693370	T	NAD27
USGS	394426095550801	03S 13E 35DDD 01	GW	39.74055305	-95.91916030	T	NAD27
USGS	394426095590901	03S 13E 32CCD 01	GW	39.74055260	-95.98610780	T	NAD27
USGS	394426096000601	03S 13E 31CDD 01	GW	39.74055255	-96.00194190	T	NAD27
USGS	394429095130601	03S 20E 31CD  01	GW	39.74138696	-95.21858530	T	NAD27
USGS	394432095103901	03S 20E 33DCA 01	GW	39.74221949	-95.17775110	T	NAD27
USGS	394445094592001	03S 22E 31CAB 01	GW	39.74582710	-94.98913610	T	NAD27
USGS	394446095445901	03S 15E 33CBA 01	GW	39.74610980	-95.74998580	T	NAD27
USGS	394452094571301	03S 22E 32BDC 01	GW	39.74777170	-94.95385730	T	NAD27
USGS	394452095032801	03S 21E 34BCC 01	GW	39.74777264	-95.05802660	T	NAD27
USGS	394457095163701	03S 19E 34BDA 01	GW	39.74916600	-95.27719780	T	NAD27
USGS	394500094470001	T57N R35W 24DDD1	GW	39.73555040	-94.77024070	S	NAD27
USGS	394510095192001	03S 19E 32BBB 01	GW	39.75277810	-95.32247660	T	NAD27
USGS	394510095194301	03S 19E 31ABA 01	GW	39.75277826	-95.32886570	T	NAD27
USGS	394510095253501	03S 18E 32BAA 01	GW	39.75278046	-95.42664570	T	NAD27
USGS	394511094545801	03S 22E 35BBB 01	GW	39.75304960	-94.91635630	T	NAD27
USGS	394511095084101	03S 20E 35BAA 01	GW	39.75305216	-95.14497280	T	NAD27
USGS	394511095334501	03S 17E 31BBB 01	GW	39.75305850	-95.56275980	T	NAD27
USGS	394512095410601	03S 15E 36ABB 01	GW	39.75333357	-95.68526230	T	NAD27
USGS	394515095415800	DELAWARE R AT DEWBERRY RD, KICKAPOO, KS	ST	39.75416667	-95.69944440	1	NAD83
USGS	394516095172001	03S 19E 28DDC 01	GW	39.75444400	-95.28914260	T	NAD27
USGS	394516095524901	03S 14E 29CCDC01  SITE 28-2S	GW	39.75446667	-95.88033330	H	NAD83
USGS	394517095440501	03S 15E 28DDD 01	GW	39.75472137	-95.73498550	T	NAD27
USGS	394518095484401	03S 14E 26DDC 01	GW	39.75499839	-95.81248870	T	NAD27
USGS	394518095525601	03S 14E 29CCD 01	GW	39.75499790	-95.88249200	T	NAD27
USGS	394518095541901	03S 13E 25DCD 01	GW	39.75499776	-95.90554870	T	NAD27
USGS	394518095542801	03S 13E 25DCC 01	GW	39.75499775	-95.90804880	T	NAD27
USGS	394518095584501	03S 13E 29DCC 01	GW	39.75499726	-95.97944100	T	NAD27
USGS	394518096003501	03S 13E 30CCC 01	GW	39.75499719	-96.00999800	T	NAD27
USGS	394523095145401	03S 19E 26DDA 01	GW	39.75638756	-95.24858600	T	NAD27
USGS	394525095512901	03S 14E 28CDA 01	GW	39.75694255	-95.85832420	T	NAD27
USGS	394530094513001	T57N R35W 17	GW	39.75832766	-94.85857690	M	NAD27
USGS	394530094520001	T57N R35W 17   2	GW	39.75832760	-94.86691050	M	NAD27
USGS	394531094552301	03S 22E 27DBC 01	GW	39.75860516	-94.92330100	T	NAD27
USGS	394531094552302	03S 22E 27DBC 02	GW	39.75860516	-94.92330100	T	NAD27
USGS	394531094563701	03S 22E 28CBC 01	GW	39.75860508	-94.94385720	T	NAD27
USGS	394531095022101	03S 21E 26CBC 01	GW	39.75860560	-95.03941520	T	NAD27
USGS	394531095471701	03S 15E 30CBC 01	GW	39.75860970	-95.78832100	M	NAD27
USGS	394535095545601	03S 13E 25CB  01	GW	39.75971997	-95.91582700	T	NAD27
USGS	394537094551301	03S 23E 30DBB 01	GW	39.76027184	-94.92052320	T	NAD27
USGS	394537094551302	03S 23E 30DBB 02	GW	39.76027184	-94.92052320	T	NAD27
USGS	394538095434201	03S 15E 27CAB 01	GW	39.76055490	-95.72859650	T	NAD27
USGS	394538095434202	03S 15E 27CAB 02	GW	39.76055490	-95.72859650	T	NAD27
USGS	394544095000001	03S 22E 30BCC 01	GW	39.76221596	-95.00024780	T	NAD27
USGS	394545095375101	03S 16E 28BDD 01	GW	39.76250147	-95.63109460	T	NAD27
USGS	394548095545601	03S 13E 25BC  01	GW	39.76333110	-95.91582700	T	NAD27
USGS	394550095044501	03S 21E 29ADA 01	GW	39.76388419	-95.07941600	T	NAD27
USGS	394550095133601	03S 20E 30BCB 01	GW	39.76388710	-95.22691900	T	NAD27
USGS	394550095301701	03S 17E 27BCB 01	GW	39.76389307	-95.50498090	T	NAD27
USGS	394551095375901	03S 16E 28BDB 01	GW	39.76416809	-95.63331690	M	NAD27
USGS	394551095375902	03S 16E 28BDB 02	GW	39.76416809	-95.63331690	M	NAD27
USGS	394555095525901	03S 14E 29BCBB01  SITE 28-2N	GW	39.76530000	-95.88296670	H	NAD83
USGS	394557095054401	03S 21E 29BBC 01	GW	39.76582896	-95.09580530	T	NAD27
USGS	394600094513001	T57N R35W 08CBD1	GW	39.76666098	-94.85857700	M	NAD27
USGS	394602095153701	03S 19E 26BAB 01	GW	39.76722110	-95.26053090	T	NAD27
USGS	394602095174601	03S 19E 28BAA 01	GW	39.76722190	-95.29636500	T	NAD27
USGS	394602095192801	03S 19E 30AAA 01	GW	39.76722254	-95.32469900	T	NAD27
USGS	394603095081601	03S 20E 26AAB 01	GW	39.76749645	-95.13802840	T	NAD27
USGS	394603095123701	03S 20E 30AAA 01	GW	39.76749787	-95.21052990	T	NAD27
USGS	394604095334501	03S 17E 30BBB 01	GW	39.76778070	-95.56275990	T	NAD27
USGS	394604095554801	03S 13E 26BAB 01	GW	39.76777550	-95.93027210	T	NAD27
USGS	394610095101401	03S 20E 22CCC 01	GW	39.76944150	-95.17080690	T	NAD27
USGS	394611095575701	03S 13E 21CDC 01	GW	39.76971970	-95.96610720	T	NAD27
USGS	394611095585301	03S 13E 20CDD 01	GW	39.76971960	-95.98166350	T	NAD27
USGS	394611095590101	03S 13E 20CDC 01	GW	39.76971960	-95.98388580	M	NAD27
USGS	394615095231801	03S 18E 22CDA 01	GW	39.77083507	-95.38858940	T	NAD27
USGS	394623095312201	03S 17E 21CBC 01	GW	39.77305930	-95.52303690	M	NAD27
USGS	394624095471801	03S 15E 19CBC 01	GW	39.77333208	-95.78859890	T	NAD27
USGS	394629094563701	03S 22E 21CBB 01	GW	39.77471620	-94.94385740	T	NAD27
USGS	394630094483001	T57N R35W 10AAA1	GW	39.77499448	-94.80857560	T	NAD27
USGS	394635095192801	03S 19E 19ADD 01	GW	39.77638917	-95.32469910	T	NAD27
USGS	394637095491001	03S 14E 23BDD 01	GW	39.77694300	-95.81971150	T	NAD27
USGS	394641095134501	03S 19E 24ADA 01	GW	39.77805375	-95.22941920	T	NAD27
USGS	394642095022101	03S 21E 23BCB 01	GW	39.77832788	-95.03941550	T	NAD27
USGS	394648095270001	03S 18E 19BBC 01	GW	39.78000308	-95.45025760	T	NAD27
USGS	394649095001401	03S 21E 24AAD 01	GW	39.78027166	-95.00413700	T	NAD27
USGS	394650095360101	03S 16E 23BBC 01	GW	39.78055770	-95.60053850	T	NAD27
USGS	394654095192801	03S 19E 19AAA 01	GW	39.78166690	-95.32469910	T	NAD27
USGS	394655094560601	03S 22E 21ABA 01	GW	39.78193848	-94.93524620	T	NAD27
USGS	394655094572601	03S 22E 20BBB 01	GW	39.78193840	-94.95746900	T	NAD27
USGS	394655095005601	03S 21E 24BAB 01	GW	39.78193855	-95.01580390	T	NAD27
USGS	394655095034501	03S 21E 21AAB 01	GW	39.78193945	-95.06274930	T	NAD27
USGS	394655095051001	03S 21E 20ABB 01	GW	39.78193990	-95.08636090	T	NAD27
USGS	394655095073401	03S 20E 24BAA 01	GW	39.78194066	-95.12636170	T	NAD27
USGS	394656095541101	03S 13E 24AAB 01	GW	39.78222030	-95.90332650	T	NAD27
USGS	394656095543501	03S 13E 24BAA 01	GW	39.78222025	-95.90999350	T	NAD27
USGS	394656095553101	03S 13E 23ABB 01	GW	39.78222015	-95.92554980	T	NAD27
USGS	394700094450001	T57N R34W 06DAA1	GW	39.78332798	-94.75024070	M	NAD27
USGS	394701095160301	03S 19E 15DDD 01	GW	39.78361008	-95.26775340	T	NAD27
USGS	394701095160302	03S 19E 15DDD 02	GW	39.78361008	-95.26775340	T	NAD27
USGS	394702095075001	03S 20E 13CCD 01	GW	39.78388519	-95.13080620	T	NAD27
USGS	394703095404901	03S 15E 13DDC 01	GW	39.78416720	-95.68054020	T	NAD27
USGS	394703095500201	03S 14E 15DCD 01	GW	39.78416520	-95.83415660	T	NAD27
USGS	394703095502801	03S 14E 15CDC 01	GW	39.78416518	-95.84137920	T	NAD27
USGS	394703095523801	03S 14E 17CDD 01	GW	39.78416490	-95.87749200	T	NAD27
USGS	394703095560401	03S 13E 14CCC 01	GW	39.78416455	-95.93471690	T	NAD27
USGS	394708095104801	03S 20E 16DCB 01	GW	39.78555279	-95.18025160	T	NAD27
USGS	394709095515501	03S 14E 16CCB 01	GW	39.78583170	-95.86554700	T	NAD27
USGS	394709095581301	03S 13E 16CCB 01	GW	39.78583100	-95.97055190	T	NAD27
USGS	394715095113001	03S 20E 17DAD 01	GW	39.78749745	-95.19191860	T	NAD27
USGS	394720095143701	03S 19E 13CBA 01	GW	39.78888730	-95.24386400	T	NAD27
USGS	394720095192801	03S 19E 18DAA 01	GW	39.78888910	-95.32469920	T	NAD27
USGS	394721095042801	03S 21E 16CBA 01	GW	39.78916190	-95.07469400	T	NAD27
USGS	394722095492701	03S 14E 14CBA 01	GW	39.78944310	-95.82443400	T	NAD27
USGS	394728095013001	03S 21E 14ADC 01	GW	39.79110540	-95.02524870	M	NAD27
USGS	394728095022101	03S 21E 14BCC 01	GW	39.79110569	-95.03941560	T	NAD27
USGS	394728095084101	03S 20E 14BDD 01	GW	39.79110767	-95.14497320	T	NAD27
USGS	394728095090701	03S 20E 14BCC 01	GW	39.79110780	-95.15219560	T	NAD27
USGS	394728095093201	03S 20E 15ACD 01	GW	39.79110790	-95.15914020	T	NAD27
USGS	394735095313000	WOLF R 4 MI S OF HIAWATHA, KS	ST	39.79305920	-95.52525930	M	NAD27
USGS	394735095581301	03S 13E 16BCB 01	GW	39.79305330	-95.97055200	T	NAD27
USGS	394746095192801	03S 19E 18AAA 01	GW	39.79611130	-95.32469930	T	NAD27
USGS	394747094563701	03S 22E 16BBB 01	GW	39.79638290	-94.94385770	T	NAD27
USGS	394747095284601	03S 17E 14BAA 01	GW	39.79639256	-95.47970280	T	NAD27
USGS	394748095570801	03S 13E 15BBB 01	GW	39.79666457	-95.95249560	T	NAD27
USGS	394752095544501	03S 13E 13BAAB01  SITE 18-2	GW	39.79785000	-95.91258330	H	NAD83
USGS	394753095170301	03S 19E 10CCC 01	GW	39.79805480	-95.28442060	T	NAD27
USGS	394754094565501	03S 22E 08DCD 01	GW	39.79832735	-94.94885790	T	NAD27
USGS	394754094583901	03S 22E 07DCC 01	GW	39.79832727	-94.97774760	T	NAD27
USGS	394755095512001	03S 14E 09DCC 01	GW	39.79860968	-95.85582440	M	NAD27
USGS	394757095434300	DELAWARE R NR FAIRVIEW, KS	ST	39.79916637	-95.72887460	M	NAD27
USGS	394758095433100	DELAWARE R AT US75 AND 200 ST, KICKAPOO, KS	ST	39.79944444	-95.72527780	1	NAD83
USGS	394800095070801	03S 20E 12DDB 01	GW	39.79999608	-95.11913950	T	NAD27
USGS	394800095291101	03S 17E 11CCB 01	GW	39.80000380	-95.48664750	T	NAD27
USGS	394801095361001	03S 16E 10DDA 01	GW	39.80027990	-95.60303870	T	NAD27
USGS	394801095535501	03S 14E 07CCB 01	GW	39.80027608	-95.89888200	T	NAD27
USGS	394801095581301	03S 13E 09CCB 01	GW	39.80027560	-95.97055200	T	NAD27
USGS	394802096004401	03S 12E 12DDA 01	GW	39.80055325	-96.01249840	T	NAD27
USGS	394813095123001	03S 20E 08CBB 01	GW	39.80360880	-95.20858570	T	NAD27
USGS	394813095123002	03S 20E 08CBB 02	GW	39.80360880	-95.20858570	T	NAD27
USGS	394814095425101	03S 15E 11CBB 01	GW	39.80388890	-95.71442990	T	NAD27
USGS	394814095595601	03S 13E 07DBB 01	GW	39.80388656	-95.99916450	T	NAD27
USGS	394820095004801	03S 21E 12BDD 01	GW	39.80554970	-95.01358200	T	NAD27
USGS	394821095581301	03S 13E 09BCC 01	GW	39.80583120	-95.97055200	T	NAD27
USGS	394821095591701	03S 13E 08BCC 01	GW	39.80583110	-95.98833070	T	NAD27
USGS	394826094553501	03S 22E 10BDB 01	GW	39.80721630	-94.92663510	T	NAD27
USGS	394826095040201	03S 21E 09ACB 01	GW	39.80721736	-95.06747190	T	NAD27
USGS	394828095561101	03S 13E 10ADA 01	GW	39.80777590	-95.93666160	T	NAD27
USGS	394832095192101	03S 19E 08BBC 01	GW	39.80888897	-95.32275490	T	NAD27
USGS	394832095192901	03S 19E 07AAD 01	GW	39.80888900	-95.32497710	T	NAD27
USGS	394833094554101	03S 22E 10BBD 01	GW	39.80916075	-94.92830190	T	NAD27
USGS	394833095123801	03S 20E 07AAD 01	GW	39.80916440	-95.21080800	T	NAD27
USGS	394836094555701	03S 22E 09AA  01	GW	39.80999407	-94.93274650	T	NAD27
USGS	394839094543401	03S 22E 11ABB 01	GW	39.81082746	-94.90969020	T	NAD27
USGS	394839094572601	03S 22E 08BBB 01	GW	39.81082735	-94.95746940	T	NAD27
USGS	394839095044501	03S 21E 08AAA 01	GW	39.81082869	-95.07941660	T	NAD27
USGS	394839095242601	03S 18E 09BAA 01	GW	39.81083530	-95.40747900	T	NAD27
USGS	394839095301601	03S 17E 10BBB 01	GW	39.81083730	-95.50470350	T	NAD27
USGS	394841095525501	03S 14E 08BBA 01	GW	39.81138740	-95.88221460	T	NAD27
USGS	394841095545801	03S 13E 12BBB 01	GW	39.81138720	-95.91638290	T	NAD27
USGS	394845095212701	03S 18E 01CCC 01	GW	39.81250085	-95.35775570	T	NAD27
USGS	394845095243401	03S 18E 04CDC 01	GW	39.81250200	-95.40970130	T	NAD27
USGS	394845095243402	03S 18E 04CDC 02	GW	39.81250200	-95.40970130	T	NAD27
USGS	394846095060101	03S 21E 06DDC 01	GW	39.81277350	-95.10052820	T	NAD27
USGS	394847095485301	03S 14E 02DCD 01	GW	39.81305456	-95.81498920	T	NAD27
USGS	394847095583701	03S 13E 05DCD 01	GW	39.81305348	-95.97721910	T	NAD27
USGS	394847096003501	03S 13E 06CCC 01	GW	39.81305338	-96.00999840	T	NAD27
USGS	394854095494501	03S 14E 03DDA 01	GW	39.81499890	-95.82943440	T	NAD27
USGS	394858095243401	03S 18E 04CAC 01	GW	39.81611310	-95.40970140	T	NAD27
USGS	394859095055201	03S 21E 06DAD 01	GW	39.81638458	-95.09802820	T	NAD27
USGS	394900095340201	03S 16E 01DACD01	GW	39.81666947	-95.56748260	M	NAD27
USGS	394900095472601	03S 14E 01DAD 01	GW	39.81666587	-95.79082150	T	NAD27
USGS	394905095013901	03S 21E 02DBA 01	GW	39.81805000	-95.02774910	T	NAD27
USGS	394907095512801	03S 14E 04CAA 01	GW	39.81860989	-95.85804690	T	NAD27
USGS	394912095004801	03S 21E 01BDD 01	GW	39.81999420	-95.01358220	T	NAD27
USGS	394912095022901	03S 21E 03ADD 01	GW	39.81999470	-95.04163830	T	NAD27
USGS	394912095065101	03S 21E 06BCC 01	GW	39.81999599	-95.11441740	T	NAD27
USGS	394913095341901	03S 16E 01ACCD01	GW	39.82028050	-95.57220490	M	NAD27
USGS	394919095083301	03S 20E 02ACB 01	GW	39.82194090	-95.14275130	T	NAD27
USGS	394924095240901	03S 18E 04ABD 01	GW	39.82333514	-95.40275680	T	NAD27
USGS	394925095065101	03S 21E 06BBC 01	GW	39.82360710	-95.11441750	M	NAD27
USGS	394925095125501	03S 20E 06ABD 01	GW	39.82360888	-95.21553040	T	NAD27
USGS	394925095313801	03S 17E 05AAC 01	GW	39.82361460	-95.52748180	T	NAD27
USGS	394927095243001	03S 18E 04BA  01	GW	39.82416860	-95.40859030	T	NAD27
USGS	394927095243002	03S 18E 04BA  02	GW	39.82416860	-95.40859030	T	NAD27
USGS	394930094450001	T58N R34W 20CBD1	GW	39.82499446	-94.74329660	M	NAD27
USGS	394931095160301	03S 19E 03AAA 01	GW	39.82527654	-95.26775370	T	NAD27
USGS	394931095174601	03S 19E 04BAA 01	GW	39.82527719	-95.29636550	T	NAD27
USGS	394931095213601	03S 18E 02AAA 01	GW	39.82527860	-95.36025590	M	NAD27
USGS	394931095270701	03S 17E 01AAA 01	GW	39.82528069	-95.45220240	T	NAD27
USGS	394932095091501	03S 20E 03AAA 01	GW	39.82555224	-95.15441820	M	NAD27
USGS	394933095314900	HIAWATHA CITY LAKE, KS  03S 17E 05AAB	LK	39.82583330	-95.53027780	S	NAD83
USGS	394933095392501	03S 16E 05BBB 01	GW	39.82583455	-95.65720660	T	NAD27
USGS	394933095445201	03S 15E 04BAB 01	GW	39.82583294	-95.74804180	T	NAD27
USGS	394933095484401	03S 14E 02AAB 01	GW	39.82583249	-95.81248920	T	NAD27
USGS	394933095530301	03S 14E 05BBB 01	GW	39.82583200	-95.88443700	T	NAD27
USGS	394933095533601	03S 14E 06BAA 01	GW	39.82583195	-95.89360420	T	NAD27
USGS	394933095562701	03S 13E 03ABA 01	GW	39.82583160	-95.94110640	T	NAD27
USGS	394933095574001	03S 13E 04ABB 01	GW	39.82583150	-95.96138510	T	NAD27
USGS	394933095591701	03S 13E 05BBB 01	GW	39.82583130	-95.98833090	T	NAD27
USGS	394937095165501	02S 19E 34CCD 01	GW	39.82694350	-95.28219850	T	NAD27
USGS	394937095174601	02S 19E 33CDD 01	GW	39.82694384	-95.29636550	T	NAD27
USGS	394937095192901	02S 19E 31DDD 01	GW	39.82694449	-95.32497730	T	NAD27
USGS	394937095400301	02S 16E 31CDDD01  SITE 31-1	GW	39.82681667	-95.66745000	H	NAD83
USGS	394938094563701	02S 22E 33CCC 01	GW	39.82721630	-94.94385810	T	NAD27
USGS	394938095033701	02S 21E 33DDD 01	GW	39.82721727	-95.06052760	T	NAD27
USGS	394939095324601	02S 17E 31DDC 01	GW	39.82750317	-95.54637110	T	NAD27
USGS	394939095362701	02S 16E 34DCD 01	GW	39.82750209	-95.60776120	T	NAD27
USGS	394939095443401	02S 15E 33DCC 01	GW	39.82749970	-95.74304170	M	NAD27
USGS	394939095505401	02S 14E 33DDD 01	GW	39.82749890	-95.84860200	T	NAD27
USGS	394939096001601	02S 13E 31CDC 01	GW	39.82749795	-96.00472050	T	NAD27
USGS	394941094500100	BLACKSNAKE CREEK RAIN GAGE	AT	39.82804980	-94.83385490	S	NAD27
USGS	394942095341501	02S 16E 36DC  01	GW	39.82833607	-95.57109380	T	NAD27
USGS	394945095340201	02S 16E 36DDB 01	GW	39.82916947	-95.56748270	T	NAD27
USGS	394948095325101	02S 17E 31D   01	GW	39.83000314	-95.54776000	T	NAD27
USGS	394950095160401	02S 19E 34DAD 01	GW	39.83055430	-95.26803160	T	NAD27
USGS	394951095123901	02S 20E 31DAD 01	GW	39.83083100	-95.21108600	T	NAD27
USGS	394952095515401	02S 14E 33CBC 01	GW	39.83110998	-95.86526950	T	NAD27
USGS	394952095515402	02S 14E 33CBC 02	GW	39.83110998	-95.86526950	T	NAD27
USGS	394958095100601	02S 20E 34CBA 01	GW	39.83277470	-95.16858520	T	NAD27
USGS	394959095482701	02S 14E 36CBB 01	GW	39.83305480	-95.80776680	T	NAD27
USGS	395003095134601	02S 19E 36ADD 01	GW	39.83416464	-95.22969750	T	NAD27
USGS	395004095004801	02S 21E 36BDD 01	GW	39.83443869	-95.01358240	T	NAD27
USGS	395004095032901	02S 21E 34BCC 01	GW	39.83443946	-95.05830540	T	NAD27
USGS	395004095500401	02S 14E 34ACCC01  SITE 18-1	GW	39.83440000	-95.83453330	H	NAD83
USGS	395005095465601	02S 15E 31BDD 01	GW	39.83472167	-95.78248790	T	NAD27
USGS	395006096004501	02S 12E 36ADD 01	GW	39.83499807	-96.01277650	T	NAD27
